#
# INPUT DATA SET 1
#


WHERE/3         WHAT/13                                                 RESET/1

0   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0

#1   0   0       0   1   1   1   1   0   0   0   0   0   0   1   1       1
#0   1   0       0   0   0   0   1   1   1   1   0   0   0   1   1       1
#0   0   1       0   0   0   0   0   0   0   1   1   1   1   1   1       1

0   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0

1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       1
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
1   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0

0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       1
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   1   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0

0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       1
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0
0   0   1       0   0   0   0   0   0   0   0   0   0   0   0   0       0

0   0   0       0   0   0   0   0   0   0   0   0   0   0   0   0       0
