# Blinking sequence for the LEDs

BODY/1 LIGHT/1 LED/8 VELOCITY/2 SOUND/1

0	0	1 0 0 0 0 0 0 0		0.07 0.07		1
0	0	1 0 0 0 0 0 0 0		0.07 0.07		0
0	0	1 0 0 0 0 0 0 0		0.07 0.07		0
0	0	1 0 0 0 0 0 0 0		0.07 0.07		0
0	0	1 0 0 0 0 0 0 0		0.07 0.07		0
0	0	1 0 0 0 0 0 0 0		0.07 0.07		0
0	1	1 0 0 0 0 0 0 0		0.07 0.07		0
0	1	1 0 0 0 0 0 0 0		0.07 0.07		0
0	1	1 0 0 0 0 0 0 0		0.07 0.07		0
0	1	1 0 0 0 0 0 0 0		0.07 0.07		0
0	1	1 0 0 0 0 0 0 0		0.07 0.07		0
0	1	1 0 0 0 0 0 0 0		0.07 0.07		0
0	1	1 0 0 0 0 0 0 0		0.07 0.07		0
1	0	1 0 0 0 0 0 0 0		0.07 0.07		0
1	0	1 0 0 0 0 0 0 0		0.07 0.07		0
1	0	1 0 0 0 0 0 0 0		0.07 0.07		0
1	0	1 0 0 0 0 0 0 0		0.07 0.07		0
1	0	1 0 0 0 0 0 0 0		0.07 0.07		0
1	0	1 0 0 0 0 0 0 0		0.07 0.07		0
1	0	1 0 0 0 0 0 0 0		0.07 0.07		0

0	0	0 1 0 0 0 0 0 0		0.07 0.07		0
0	0	0 1 0 0 0 0 0 0		0.07 0.07		0
0	0	0 1 0 0 0 0 0 0		0.07 0.07		0
0	0	0 1 0 0 0 0 0 0		0.07 0.07		0
0	0	0 1 0 0 0 0 0 0		0.07 0.07		0
0	0	0 1 0 0 0 0 0 0		0.07 0.07		0
0	1	0 1 0 0 0 0 0 0		0.07 0.07		0
0	1	0 1 0 0 0 0 0 0		0.07 0.07		0
0	1	0 1 0 0 0 0 0 0		0.07 0.07		0
0	1	0 1 0 0 0 0 0 0		0.07 0.07		0
0	1	0 1 0 0 0 0 0 0		0.07 0.07		0
