T/1	MEAN_ANGLE/1	VARIANCE_ANGLE/1	MOVEMENT_ANGLE/20																				MEAN_ROTATION/1	VARIANCE_ROTATION/1	MOVEMENT_ROTATION/20																				
42	16.1983	328.4763	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	104.5173	103.3547	102.1047	97.7263	99.3023	96.0151	96.0151	96.0151	0.0000	9.2341	104.5173	-13.6307	278.6927	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-0.0000	-34.0767	-0.0000	-0.0000	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	-0.0000	-0.0000	34.0767	
63	32.1685	14.9671	18.2600	18.2600	18.2600	18.2600	18.2600	108.4484	26.8963	26.8963	18.2600	18.2600	18.2600	18.2600	9.2341	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.7422	403.5239	-0.0000	-0.0000	-34.0767	-0.0000	-0.0000	34.0767	-34.0767	-0.0000	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-0.0000	-34.0767	-34.0767	-34.0767	-34.0767	-0.0000	-0.0000	
84	32.1685	14.9671	18.2600	18.2600	107.5602	18.2600	18.2600	107.5602	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	9.2341	108.4484	106.6130	10.2230	243.8561	-0.0000	-0.0000	34.0767	-0.0000	-0.0000	34.0767	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	-0.0000	-34.0767	-34.0767	-34.0767	-0.0000	-0.0000	-0.0000	34.0767	34.0767	
105	7.1853	2562.1704	105.6009	105.6009	106.6130	107.5602	106.6130	106.6130	-129.5751	111.5060	105.6009	105.6009	18.2600	26.8963	26.8963	18.2600	107.5602	18.2600	18.2600	26.8963	18.2600	18.2600	89.2946	13511.4238	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	-34.0767	-34.0767	-34.0767	-34.0767	34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	
126	26.2344	88.3504	18.2600	18.2600	106.6130	26.8963	26.8963	18.2600	18.2600	26.8963	18.2600	26.8963	26.8963	18.2600	18.2600	26.8963	26.8963	26.8963	26.8963	18.2600	18.2600	18.2600	41.4778	6247.6826	-34.0767	-34.0767	34.0767	-34.0767	-0.0000	-0.0000	-34.0767	-34.0767	-0.0000	-0.0000	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-0.0000	-34.0767	-34.0767	-34.0767	
147	32.9802	2595.6062	18.2600	26.8963	26.8963	26.8963	26.8963	26.8963	26.8963	26.8963	26.8963	26.8963	103.3547	26.8963	26.8963	26.8963	18.2600	9.2341	18.2600	18.2600	18.2600	18.2600	22.1024	8538.8584	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-65.6698	-34.0767	-34.0767	-34.0767	-0.0000	
168	29.3034	20.9617	18.2600	9.2341	9.2341	9.2341	18.2600	9.2341	9.2341	18.2600	18.2600	9.2341	104.5173	9.2341	9.2341	9.2341	9.2341	9.2341	18.2600	9.2341	105.6009	105.6009	3.4077	104.5098	-0.0000	-34.0767	-0.0000	-34.0767	34.0767	-34.0767	-34.0767	-34.0767	-65.6698	-34.0767	34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	34.0767	34.0767	
189	26.0064	13.6855	18.2600	9.2341	18.2600	18.2600	18.2600	9.2341	18.2600	18.2600	9.2341	9.2341	9.2341	104.5173	9.2341	18.2600	9.2341	9.2341	104.5173	104.5173	18.2600	18.2600	20.1977	487.7955	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	34.0767	-34.0767	-34.0767	-34.0767	-34.0767	34.0767	34.0767	-34.0767	-34.0767	
210	27.2493	17.2024	18.2600	18.2600	105.6009	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	8.5192	217.7287	-34.0767	-34.0767	34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	-34.0767	
231	25.5868	143.8474	9.2341	18.2600	18.2600	9.2341	9.2341	18.2600	18.2600	18.2600	18.2600	18.2600	18.2600	107.5602	107.5602	106.6130	105.6009	104.5173	104.5173	103.3547	104.5173	105.6009	-46.5063	8853.3369	-34.0767	-65.6698	-34.0767	-34.0767	-34.0767	-65.6698	-0.0000	-34.0767	-0.0000	-34.0767	-34.0767	34.0767	34.0767	-237.5884	34.0767	34.0767	34.0767	34.0767	34.0767	34.0767	
