Address;Size;Name;Description;Access;Inital Value;Min;Max;Convert;Ikaros Input;Ikaros Output
0;2;Model Number;Model number;R;350;;;;;
2;1;Version of Firmware;Information on the version of firmware;R;;;;;;
3;1;ID;ID of Dynamixel;RW;1;0;252;;;
4;1;Baud Rate;Baud Rate of Dynamixel;RW;3;0;3;;;
5;1;Return Delay Time;Return Delay Time;RW;250;0;254;;;
6;2;CW Angle Limit;clockwise Angle Limit;RW;0;0;1023;;;
8;2;CCW Angle Limit; counterclockwise Angle Limit;RW;1023;0;1023;;;
11;1;Control Mode;Control Mode;RW;2;1;2;;;
12;1;Limit Temperature;Internal Limit Temperature;RW;65;0;150;;;
13;1;lower Limit Voltage;Lowest Limit Voltage;RW;60;50;250;;;
14;1;Upper Limit Voltage;Upper Limit Voltage;RW;90;50;250;;;
15;2;Max Torque;Lowest byte of Max. Torque;RW;1023;0;1023;;;
17;1;Return Level;Return Level;RW;2;0;2;;;
18;1;Alarm Shutdown;Shutdown for Alarm;RW;36;0;127;;;
24;1;Torque Enable;Torque On/Off;RW;0;0;1;;0;0
25;1;LED;LED On/Off;RW;0;0;7;;1;1
27;1;D Gain;D Gain;RW;0;0;254;;2;2
28;1;I Gain;I Gain;RW;0;0;254;;3;3
29;1;P Gain;P Gain;RW;32;0;1023;;4;4
30;2;Goal Position;Goal Position;RW;;0;2047;;5;5
32;2;Goal Velocity;Goal Speed;RW;;0;1023;;6;6
35;2;Goal Torque;Goal Torque;RW;;0;1023;;7;7
37;2;Present Position; Current Position;R;;;;;;8
39;2;Present Speed;Current Speed;R;;;;;;9
41;2;Present Load; Current Load;R;;;;;;10
45;1;Present Voltage;Current Voltage;R;;;;;;11
46;1;Present Temperature;Present temperature;R;;;;;;12
47;1;Registered Instruction;Registered Instruction ;R;0;;;;;
49;1;Moving;Moving;R;0;;;;;
50;1;Hardware Error Status;Hardware error status;R;0;;;;;
51;2;Punch;Punch;RW;32;0;1023;;;
