T/1	Light:0	Pupil:0	Pupil:1	Pupil:2	
137	0.4100	0.0000	0.0000	2.0000	
138	0.4100	0.0000	0.0000	2.0000	
139	0.4100	0.0000	0.0000	2.0000	
140	0.4100	0.0000	0.0000	2.0000	
141	0.4100	0.0000	0.0000	2.0000	
142	0.4100	0.0000	0.0000	2.0000	
143	0.4100	0.0000	0.0000	2.0000	
144	0.4100	0.0000	0.0000	2.0000	
145	0.4100	0.0000	0.0000	2.0000	
146	0.4100	0.0000	0.0000	2.0000	
147	0.4100	0.0000	0.0000	2.0000	
148	0.4100	0.0000	0.0000	2.0000	
149	0.4100	0.0000	0.0000	2.0000	
150	0.4100	0.0000	0.0000	2.0000	
151	0.4100	0.0000	0.0000	2.0000	
152	0.4100	0.0000	0.0000	2.0000	
153	0.4100	0.0000	0.0000	2.0000	
154	0.4100	0.0000	0.0000	2.0000	
155	0.4100	0.0000	0.0000	2.0000	
156	0.4100	0.0000	0.0000	2.0000	
157	0.4100	0.0000	0.0000	2.0000	
158	0.4100	0.0000	0.0000	2.0000	
159	0.4100	0.0000	0.0000	2.0000	
160	0.4100	0.0000	0.0000	2.0000	
161	0.4100	0.0000	0.0000	2.0000	
162	0.4100	0.0000	0.0000	2.0000	
163	0.4100	0.0000	0.0000	2.0000	
164	0.4100	0.0000	0.0000	2.0000	
165	0.4100	0.0000	0.0000	2.0000	
166	0.4100	0.0000	0.0000	2.0000	
167	0.4100	0.0000	0.0000	2.0000	
168	0.4100	0.0000	0.0000	2.0000	
169	0.4100	0.0000	0.0000	2.0000	
170	0.4100	0.0000	0.0000	2.0000	
171	0.4100	0.0000	0.0000	2.0000	
172	0.4100	0.0000	0.0000	2.0000	
173	0.4100	0.0000	0.0000	2.0000	
174	0.4100	0.0000	0.0000	2.0000	
175	0.4100	0.0000	0.0000	2.0000	
176	0.4100	0.0000	0.0000	2.0000	
177	0.4100	0.0000	0.0000	2.0000	
178	0.4100	0.0000	0.0000	2.0000	
179	0.4100	0.0000	0.0000	2.0000	
180	0.4100	0.0000	0.0000	2.0000	
181	0.4100	0.0000	0.0000	2.0000	
182	0.4100	0.0000	0.0000	2.0000	
183	0.4100	0.0000	0.0000	2.0000	
184	0.4100	0.0000	0.0000	2.0000	
185	0.4100	0.0000	0.0000	2.0000	
186	0.4100	0.0000	0.0000	2.0000	
187	0.4100	0.0000	0.0000	2.0000	
188	0.4100	0.0000	0.0000	2.0000	
189	0.4100	0.0000	0.0000	2.0000	
190	0.4100	0.0000	0.0000	2.0000	
191	0.4100	0.0000	0.0000	2.0000	
192	0.4100	0.0000	0.0000	2.0000	
193	0.4100	0.0000	0.0000	2.0000	
194	0.4100	0.0000	0.0000	2.0000	
195	0.4100	0.0000	0.0000	2.0000	
196	0.4100	0.0000	0.0000	2.0000	
197	0.4100	0.0000	0.0000	2.0000	
198	0.4100	0.0000	0.0000	2.0000	
199	0.4100	0.0000	0.0000	2.0000	
200	0.4100	0.0000	0.0000	2.0000	
201	0.4100	0.0000	0.0000	2.0000	
202	0.4100	0.0000	0.0000	2.0000	
203	0.4100	0.0000	0.0000	2.0000	
204	0.4100	0.0000	0.0000	2.0000	
205	0.4100	0.0000	0.0000	2.0000	
206	0.4100	0.0000	0.0000	2.0000	
207	0.4100	0.0000	0.0000	2.0000	
208	0.4100	0.0000	0.0000	2.0000	
209	0.4100	0.0000	0.0000	2.0000	
210	0.4100	0.0000	0.0000	2.0000	
211	0.4100	0.0000	0.0000	2.0000	
212	0.4100	0.0000	0.0000	2.0000	
213	0.4100	0.0000	0.0000	2.0000	
214	0.4100	0.0000	0.0000	2.0000	
215	0.4100	0.0000	0.0000	2.0000	
216	0.4100	0.0000	0.0000	2.0000	
217	0.4100	0.0000	0.0000	2.0000	
218	0.4100	0.0000	0.0000	2.0000	
219	0.4100	0.0000	0.0000	2.0000	
220	0.4100	0.0000	0.0000	2.0000	
221	0.4100	0.0000	0.0000	2.0000	
222	0.4100	0.0000	0.0000	2.0000	
223	0.4100	0.0000	0.0000	2.0000	
224	0.4100	0.0000	0.0000	2.0000	
225	0.4100	0.0000	0.0000	2.0000	
226	0.4100	0.0000	0.0000	2.0000	
227	0.4100	0.0000	0.0000	2.0000	
228	0.4100	0.0000	0.0000	2.0000	
229	0.4100	0.0000	0.0000	2.0000	
230	0.4100	0.0000	0.0000	2.0000	
231	0.4100	0.0000	0.0000	2.0000	
232	0.4100	0.0000	0.0000	2.0000	
233	0.4100	0.0000	0.0000	2.0000	
234	0.4100	0.0000	0.0000	2.0000	
235	0.4100	0.0000	0.0000	2.0000	
236	0.4100	0.0000	0.0000	2.0000	
237	0.4100	0.0000	0.0000	2.0000	
238	0.4100	0.0000	0.0000	2.0000	
239	0.4100	0.0000	0.0000	2.0000	
240	0.4100	0.0000	0.0000	2.0000	
241	0.4100	0.0000	0.0000	2.0000	
242	0.4100	0.0000	0.0000	2.0000	
243	0.4100	0.0000	0.0000	2.0000	
244	0.4100	0.0000	0.0000	2.0000	
245	0.4100	0.0000	0.0000	2.0000	
246	0.4100	0.0000	0.0000	2.0000	
247	0.4100	0.0000	0.0000	2.0000	
248	0.4100	0.0000	0.0000	2.0000	
249	0.4100	0.0000	0.0000	2.0000	
250	0.4100	0.0000	0.0000	2.0000	
251	0.4100	0.0000	0.0000	2.0000	
252	0.4100	0.0000	0.0000	2.0000	
253	0.4100	0.0000	0.0000	2.0000	
254	0.4100	0.0000	0.0000	2.0000	
255	0.4100	0.0000	0.0000	2.0000	
256	0.4100	0.0000	0.0000	2.0000	
257	0.4100	0.0000	0.0000	2.0000	
258	0.4100	0.0000	0.0000	2.0000	
259	0.4100	0.0000	0.0000	2.0000	
260	0.4100	0.0000	0.0000	2.0000	
261	0.4100	0.0000	0.0000	2.0000	
262	0.4100	0.0000	0.0000	2.0000	
263	0.4100	0.0000	0.0000	2.0000	
264	0.4100	0.0000	0.0000	2.0000	
265	0.4100	0.0000	0.0000	2.0000	
266	0.4100	0.0000	0.0000	2.0000	
267	0.4100	0.0000	0.0000	2.0000	
268	0.4100	0.0000	0.0000	2.0000	
269	0.4100	0.0000	0.0000	2.0000	
270	0.4100	0.0000	0.0000	2.0000	
271	0.4100	0.0000	0.0000	2.0000	
272	0.4100	0.0000	0.0000	2.0000	
273	0.4100	0.0000	0.0000	2.0000	
274	0.4100	0.0000	0.0000	2.0000	
275	0.4100	0.0000	0.0000	2.0000	
276	0.4100	0.0000	0.0000	2.0000	
277	0.4100	0.0000	0.0000	2.0000	
278	0.4100	0.0000	0.0000	2.0000	
279	0.4100	0.0000	0.0000	2.0000	
280	0.4100	0.0000	0.0000	2.0000	
281	0.4100	0.0000	0.0000	2.0000	
282	0.4100	0.0000	0.0000	2.0000	
283	0.4100	0.0000	0.0000	2.0000	
284	0.4100	0.0000	0.0000	2.0000	
285	0.4100	0.0000	0.0000	2.0000	
286	0.4100	0.0000	0.0000	2.0000	
287	0.4100	0.0000	0.0000	2.0000	
288	0.4100	0.0000	0.0000	2.0000	
289	0.4100	0.0000	0.0000	2.0000	
290	0.4100	0.0000	0.0000	2.0000	
291	0.4100	0.0000	0.0000	2.0000	
292	0.4100	0.0000	0.0000	2.0000	
293	0.4100	0.0000	0.0000	2.0000	
294	0.4100	0.0000	0.0000	2.0000	
295	0.4100	0.0000	0.0000	2.0000	
296	0.4100	0.0000	0.0000	2.0000	
297	0.4100	0.0000	0.0000	2.0000	
298	0.4100	0.0000	0.0000	2.0000	
299	0.4100	0.0000	0.0000	2.0000	
300	0.4100	0.0000	0.0000	2.0000	
301	0.4100	0.0000	0.0000	2.0000	
302	0.4100	0.0000	0.0000	2.0000	
303	0.4100	0.0000	0.0000	2.0000	
304	0.4100	0.0000	0.0000	2.0000	
305	0.4100	0.0000	0.0000	2.0000	
306	0.4100	0.0000	0.0000	2.0000	
307	0.4100	0.0000	0.0000	2.0000	
308	0.4100	0.0000	0.0000	2.0000	
309	0.4100	0.0000	0.0000	2.0000	
310	0.4100	0.0000	0.0000	2.0000	
311	0.4100	0.0000	0.0000	2.0000	
312	0.4100	0.0000	0.0000	2.0000	
313	0.4100	0.0000	0.0000	2.0000	
314	0.4100	0.0000	0.0000	2.0000	
315	0.4100	0.0000	0.0000	2.0000	
316	0.4100	0.0000	0.0000	2.0000	
317	0.4100	0.0000	0.0000	2.0000	
318	0.4100	0.0000	0.0000	2.0000	
319	0.4100	0.0000	0.0000	2.0000	
320	0.4100	0.0000	0.0000	2.0000	
321	0.4100	0.0000	0.0000	2.0000	
322	0.4100	0.0000	0.0000	2.0000	
323	0.4100	0.0000	0.0000	2.0000	
324	0.4100	0.0000	0.0000	2.0000	
325	0.4100	0.0000	0.0000	2.0000	
326	0.4100	0.0000	0.0000	2.0000	
327	0.4100	0.0000	0.0000	2.0000	
328	0.4100	0.0000	0.0000	2.0000	
329	0.4100	0.0000	0.0000	2.0000	
330	0.4100	0.0000	0.0000	2.0000	
331	0.4100	0.0000	0.0000	2.0000	
332	0.4100	0.0000	0.0000	2.0000	
333	0.4100	0.0000	0.0000	2.0000	
334	0.4100	0.0000	0.0000	2.0000	
335	0.4100	0.0000	0.0000	2.0000	
336	0.4100	0.0000	0.0000	2.0000	
337	0.4100	0.0000	0.0000	2.0000	
338	0.4100	0.0000	0.0000	2.0000	
339	0.4100	0.0000	0.0000	2.0000	
340	0.4100	0.0000	0.0000	2.0000	
341	0.4100	0.0000	0.0000	2.0000	
342	0.4100	0.0000	0.0000	2.0000	
343	0.4100	0.0000	0.0000	2.0000	
344	0.4100	0.0000	0.0000	2.0000	
345	0.4100	0.0000	0.0000	2.0000	
346	0.4100	0.0000	0.0000	2.0000	
347	0.4100	0.0000	0.0000	2.0000	
348	0.4100	0.0000	0.0000	2.0000	
349	0.4100	0.0000	0.0000	2.0000	
350	0.4100	0.0000	0.0000	2.0000	
351	0.4100	0.0000	0.0000	2.0000	
352	0.4100	0.0000	0.0000	2.0000	
353	0.4100	0.0000	0.0000	2.0000	
354	0.4100	0.0000	0.0000	2.0000	
355	0.4100	0.0000	0.0000	2.0000	
356	0.4100	0.0000	0.0000	2.0000	
357	0.4100	0.0000	0.0000	2.0000	
358	0.4100	0.0000	0.0000	2.0000	
359	0.4100	0.0000	0.0000	2.0000	
360	0.4100	0.0000	0.0000	2.0000	
361	0.4100	0.0000	0.0000	2.0000	
362	0.4100	0.0000	0.0000	2.0000	
363	0.4100	0.0000	0.0000	2.0000	
364	0.4100	0.0000	0.0000	2.0000	
365	0.4100	0.0000	0.0000	2.0000	
366	0.4100	0.0000	0.0000	2.0000	
367	0.4100	0.0000	0.0000	2.0000	
368	0.4100	0.0000	0.0000	2.0000	
369	0.4100	0.0000	0.0000	2.0000	
370	0.4100	0.0000	0.0000	2.0000	
371	0.4100	0.0000	0.0000	2.0000	
372	0.4100	0.0000	0.0000	2.0000	
373	0.4100	0.0000	0.0000	2.0000	
374	0.4100	0.0000	0.0000	2.0000	
375	0.4100	0.0000	0.0000	2.0000	
376	0.4100	0.0000	0.0000	2.0000	
377	0.4100	0.0000	0.0000	2.0000	
378	0.4100	0.0000	0.0000	2.0000	
379	0.4100	0.0000	0.0000	2.0000	
380	0.4100	0.0000	0.0000	2.0000	
381	0.4100	0.0000	0.0000	2.0000	
382	0.4100	0.0000	0.0000	2.0000	
383	0.4100	0.0000	0.0000	2.0000	
384	0.4100	0.0000	0.0000	2.0000	
385	0.4100	0.0000	0.0000	2.0000	
386	0.4100	0.0000	0.0000	2.0000	
387	0.4100	0.0000	0.0000	2.0000	
388	0.4100	0.0000	0.0000	2.0000	
389	0.4100	0.0000	0.0000	2.0000	
390	0.4100	0.0000	0.0000	2.0000	
391	0.4100	0.0000	0.0000	2.0000	
392	0.4100	0.0000	0.0000	2.0000	
393	0.4100	0.0000	0.0000	2.0000	
394	0.4100	0.0000	0.0000	2.0000	
395	0.4100	0.0000	0.0000	2.0000	
396	0.4100	0.0000	0.0000	2.0000	
397	0.4100	0.0000	0.0000	2.0000	
398	0.4100	0.0000	0.0000	2.0000	
399	0.4100	0.0000	0.0000	2.0000	
400	0.4100	0.0000	0.0000	2.0000	
401	0.4100	0.0000	0.0000	2.0000	
402	0.4100	0.0000	0.0000	2.0000	
403	0.4100	0.0000	0.0000	2.0000	
404	0.4100	0.0000	0.0000	2.0000	
405	0.4100	0.0000	0.0000	2.0000	
406	0.4100	0.0000	0.0000	2.0000	
407	0.4100	0.0000	0.0000	2.0000	
408	0.4100	0.0000	0.0000	2.0000	
409	0.4100	0.0000	0.0000	2.0000	
410	0.4100	0.0000	0.0000	2.0000	
411	0.4100	0.0000	0.0000	2.0000	
412	0.4100	0.0000	0.0000	2.0000	
413	0.4100	0.0000	0.0000	2.0000	
414	0.4100	0.0000	0.0000	2.0000	
415	0.4100	0.0000	0.0000	2.0000	
416	0.4100	0.0000	0.0000	2.0000	
417	0.4100	0.0000	0.0000	2.0000	
418	0.4100	0.0000	0.0000	2.0000	
419	0.4100	0.0000	0.0000	2.0000	
420	0.4100	0.0000	0.0000	2.0000	
421	0.4100	0.0000	0.0000	2.0000	
422	0.4100	0.0000	0.0000	2.0000	
423	0.4100	0.0000	0.0000	2.0000	
424	0.4100	0.0000	0.0000	2.0000	
425	0.4100	0.0000	0.0000	2.0000	
426	0.4100	0.0000	0.0000	2.0000	
427	0.4100	0.0000	0.0000	2.0000	
428	0.4100	0.0000	0.0000	2.0000	
429	0.4100	0.0000	0.0000	2.0000	
430	0.4100	0.0000	0.0000	2.0000	
431	0.4100	0.0000	0.0000	2.0000	
432	0.4100	0.0000	0.0000	2.0000	
433	0.4100	0.0000	0.0000	2.0000	
434	0.4100	0.0000	0.0000	2.0000	
435	0.4100	0.0000	0.0000	2.0000	
436	0.4100	0.0000	0.0000	2.0000	
437	0.4100	0.0000	0.0000	2.0000	
438	0.4100	0.0000	0.0000	2.0000	
439	0.4100	0.0000	0.0000	2.0000	
440	0.4100	0.0000	0.0000	2.0000	
441	0.4100	0.0000	0.0000	2.0000	
442	0.4100	0.0000	0.0000	2.0000	
443	0.4100	0.0000	0.0000	2.0000	
444	0.4100	0.0000	0.0000	2.0000	
445	0.4100	0.0000	0.0000	2.0000	
446	0.4100	0.0000	0.0000	2.0000	
447	0.4100	0.0000	0.0000	2.0000	
448	0.4100	0.0000	0.0000	2.0000	
449	0.4100	0.0000	0.0000	2.0000	
450	0.4100	0.0000	0.0000	2.0000	
451	0.4100	0.0000	0.0000	2.0000	
452	0.4100	0.0000	0.0000	2.0000	
453	0.4100	0.0000	0.0000	2.0000	
454	0.4100	0.0000	0.0000	2.0000	
455	0.4100	0.0000	0.0000	2.0000	
456	0.4100	0.0000	0.0000	2.0000	
457	0.4100	0.0000	0.0000	2.0000	
458	0.4100	0.0000	0.0000	2.0000	
459	0.4100	0.0000	0.0000	2.0000	
460	0.4100	0.0000	0.0000	2.0000	
461	0.4100	0.0000	0.0000	2.0000	
462	0.4100	0.0000	0.0000	2.0000	
463	0.4100	0.0000	0.0000	2.0000	
464	0.4100	0.0000	0.0000	2.0000	
465	0.4100	0.0000	0.0000	2.0000	
466	0.4100	0.0000	0.0000	2.0000	
467	0.4100	0.0000	0.0000	2.0000	
468	0.4100	0.0000	0.0000	2.0000	
469	0.4100	0.0000	0.0000	2.0000	
470	0.4100	0.0000	0.0000	2.0000	
471	0.4100	0.0000	0.0000	2.0000	
472	0.4100	0.0000	0.0000	2.0000	
473	0.4100	0.0000	0.0000	2.0000	
474	0.4100	0.0000	0.0000	2.0000	
475	0.4100	0.0000	0.0000	2.0000	
476	0.4100	0.0000	0.0000	2.0000	
477	0.4100	0.0000	0.0000	2.0000	
478	0.4100	0.0000	0.0000	2.0000	
479	0.4100	0.0000	0.0000	2.0000	
480	0.4100	0.0000	0.0000	2.0000	
481	0.4100	0.0000	0.0000	2.0000	
482	0.4100	0.0000	0.0000	2.0000	
483	0.4100	0.0000	0.0000	2.0000	
484	0.4100	0.0000	0.0000	2.0000	
485	0.4100	0.0000	0.0000	2.0000	
486	0.4100	0.0000	0.0000	2.0000	
487	0.4100	0.0000	0.0000	2.0000	
488	0.4100	0.0000	0.0000	2.0000	
489	0.4100	0.0000	0.0000	2.0000	
490	0.4100	0.0000	0.0000	2.0000	
491	0.4100	0.0000	0.0000	2.0000	
492	0.4100	0.0000	0.0000	2.0000	
493	0.4100	0.0000	0.0000	2.0000	
494	0.4100	0.0000	0.0000	2.0000	
495	0.4100	0.0000	0.0000	2.0000	
496	0.4100	0.0000	0.0000	2.0000	
497	0.4100	0.0000	0.0000	2.0000	
498	0.4100	0.0000	0.0000	2.0000	
499	0.4100	0.0000	0.0000	2.0000	
500	0.4100	0.0000	0.0000	2.0000	
501	0.4100	0.0000	0.0000	2.0000	
502	0.4100	0.0000	0.0000	2.0000	
503	0.4100	0.0000	0.0000	2.0000	
504	0.4100	0.0000	0.0000	2.0000	
505	0.4100	0.0000	0.0000	2.0000	
506	0.4100	0.0000	0.0000	2.0000	
507	0.4100	0.0000	0.0000	2.0000	
508	0.4100	0.0000	0.0000	2.0000	
509	0.4100	0.0000	0.0000	2.0000	
510	0.4100	0.0000	0.0000	2.0000	
511	0.4100	0.0000	0.0000	2.0000	
512	0.4100	0.0000	0.0000	2.0000	
513	0.4100	0.0000	0.0000	2.0000	
514	0.4100	0.0000	0.0000	2.0000	
515	0.4100	0.0000	0.0000	2.0000	
516	0.4100	0.0000	0.0000	2.0000	
517	0.4100	0.0000	0.0000	2.0000	
518	0.4100	0.0000	0.0000	2.0000	
519	0.4100	0.0000	0.0000	2.0000	
520	0.4100	0.0000	0.0000	2.0000	
521	0.4100	0.0000	0.0000	2.0000	
522	0.4100	0.0000	0.0000	2.0000	
523	0.4100	0.0000	0.0000	2.0000	
524	0.4100	0.0000	0.0000	2.0000	
525	0.4100	0.0000	0.0000	2.0000	
526	0.4100	0.0000	0.0000	2.0000	
527	0.4100	0.0000	0.0000	2.0000	
528	0.4100	0.0000	0.0000	2.0000	
529	0.4100	0.0000	0.0000	2.0000	
530	0.4100	0.0000	0.0000	2.0000	
531	0.4100	0.0000	0.0000	2.0000	
532	0.4100	0.0000	0.0000	2.0000	
533	0.4100	0.0000	0.0000	2.0000	
534	0.4100	0.0000	0.0000	2.0000	
535	0.4100	0.0000	0.0000	2.0000	
536	0.4100	0.0000	0.0000	2.0000	
537	0.4100	0.0000	0.0000	2.0000	
538	0.4100	0.0000	0.0000	2.0000	
539	0.4100	0.0000	0.0000	2.0000	
540	0.4100	0.0000	0.0000	2.0000	
541	0.4100	0.0000	0.0000	2.0000	
542	0.4100	0.0000	0.0000	2.0000	
543	0.4100	0.0000	0.0000	2.0000	
544	0.4100	0.0000	0.0000	2.0000	
545	0.4100	0.0000	0.0000	2.0000	
546	0.4100	0.0000	0.0000	2.0000	
547	0.4100	0.0000	0.0000	2.0000	
548	0.4100	0.0000	0.0000	2.0000	
549	0.4100	0.0000	0.0000	2.0000	
550	0.4100	0.0000	0.0000	2.0000	
551	0.4100	0.0000	0.0000	2.0000	
552	0.4100	0.0000	0.0000	2.0000	
553	0.4100	0.0000	0.0000	2.0000	
554	0.4100	0.0000	0.0000	2.0000	
555	0.4100	0.0000	0.0000	2.0000	
556	0.4100	0.0000	0.0000	2.0000	
557	0.4100	0.0000	0.0000	2.0000	
558	0.4100	0.0000	0.0000	2.0000	
559	0.4100	0.0000	0.0000	2.0000	
560	0.4100	0.0000	0.0000	2.0000	
561	0.4100	0.0000	0.0000	2.0000	
562	0.4100	0.0000	0.0000	2.0000	
563	0.4100	0.0000	0.0000	2.0000	
564	0.4100	0.0000	0.0000	2.0000	
565	0.4100	0.0000	0.0000	2.0000	
566	0.4100	0.0000	0.0000	2.0000	
567	0.4100	0.0000	0.0000	2.0000	
568	0.4100	0.0000	0.0000	2.0000	
569	0.4100	0.0000	0.0000	2.0000	
570	0.4100	0.0000	0.0000	2.0000	
571	0.4100	0.0000	0.0000	2.0000	
572	0.4100	0.0000	0.0000	2.0000	
573	0.4100	0.0000	0.0000	2.0000	
574	0.4100	0.0000	0.0000	2.0000	
575	0.4100	0.0000	0.0000	2.0000	
576	0.4100	0.0000	0.0000	2.0000	
577	0.4100	0.0000	0.0000	2.0000	
578	0.4100	0.0000	0.0000	2.0000	
579	0.4100	0.0000	0.0000	2.0000	
580	0.4100	0.0000	0.0000	2.0000	
581	0.4100	0.0000	0.0000	2.0000	
582	0.4100	0.0000	0.0000	2.0000	
583	0.4100	0.0000	0.0000	2.0000	
584	0.4100	0.0000	0.0000	2.0000	
585	0.4100	0.0000	0.0000	2.0000	
586	0.4100	0.0000	0.0000	2.0000	
587	0.4100	0.0000	0.0000	2.0000	
588	0.4100	0.0000	0.0000	2.0000	
589	0.4100	0.0000	0.0000	2.0000	
590	0.4100	0.0000	0.0000	2.0000	
591	0.4100	0.0000	0.0000	2.0000	
592	0.4100	0.0000	0.0000	2.0000	
593	0.4100	0.0000	0.0000	2.0000	
594	0.4100	0.0000	0.0000	2.0000	
595	0.4100	0.0000	0.0000	2.0000	
596	0.4100	0.0000	0.0000	2.0000	
597	0.4100	0.0000	0.0000	2.0000	
598	0.4100	0.0000	0.0000	2.0000	
599	0.4100	0.0000	0.0000	2.0000	
600	0.4100	0.0000	0.0000	2.0000	
601	0.4100	0.0000	0.0000	2.0000	
602	0.7900	0.0000	0.0000	2.0000	
603	0.7900	0.0000	0.0000	2.0000	
604	0.7900	0.0000	0.0000	2.0000	
