CS/3		R/1		LOC/2
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	1		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	1	0	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	0	1	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	0	1	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	0	1	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	0	1	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	0	1	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	0	1	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
0	0	1	0		0		1
0	0	0	0		0		0
1	0	0	0		1		0
